iter,LR0.9_E0.0_Time,LR0.9_E0.0_Rewards,LR0.9_E0.0_Steps,LR0.9_E0.0_Convergence,LR0.9_E0.5_Time,LR0.9_E0.5_Rewards,LR0.9_E0.5_Steps,LR0.9_E0.5_Convergence,LR0.9_E0.7_Time,LR0.9_E0.7_Rewards,LR0.9_E0.7_Steps,LR0.9_E0.7_Convergence,LR0.9_E0.9_Time,LR0.9_E0.9_Rewards,LR0.9_E0.9_Steps,LR0.9_E0.9_Convergence
119,0.026733481,32.52,69.48,11.0871035747,0.022059583,-27.08,121,12.899173957,0.021827347,52.46,49.54,8.7777955134,0.020506385,-95.24,158.86,9.8795422348
120,0.026869648,33.42,68.58,10.8162565948,0.022229667,-6.78,108.78,11.9858559006,0.021944358,22.88,79.12,8.2564779786,0.020647311,39.04,62.96,9.6012064425
121,0.026976032,-199,200,10.8384703312,0.022370531,-41.98,131.86,11.7223092105,0.022044705,52.3,49.7,8.288759725,0.020748727,21.26,80.74,9.2644275847
122,0.027130533,-67,146.78,11.5601496332,0.022531229,33.24,68.76,11.5218917965,0.022167373,-42.58,126.4,8.2800795971,0.020859944,51.78,50.22,9.6604964757
123,0.027244866,3.38,96.6,11.7998350238,0.022648973,-10.98,112.98,11.818904261,0.022275038,-35,128.92,8.2936749611,0.020954205,-7.4,107.38,9.0602343906
124,0.027409464,-50.22,142.12,11.0752185246,0.022772668,-52.92,140.78,11.7493871633,0.022449512,-166.22,187.42,8.0365013906,0.0211226,35.4,66.6,9.0235341155
125,0.027557361,13.54,86.44,10.9873817767,0.022931329,-7.64,109.64,10.8809415977,0.022626921,-76.12,155.9,8.0152944617,0.021250332,37.5,64.5,9.4355054712
126,0.027699942,-168.88,190.08,10.5179476858,0.023035673,0,99.98,10.4526531058,0.022758499,-100.86,166.5,8.0940218738,0.021372279,-83.18,152.86,9.6315832833
127,0.027884127,-69.42,151.22,9.9343872568,0.02315811,52.9,49.1,9.3039695311,0.022864378,-19.42,115.36,8.447176472,0.021542978,-79.88,153.6,9.2491280209
128,0.028008264,-21.02,114.94,9.2317821379,0.023254374,51.22,50.78,9.0101117892,0.022964419,-184.46,197.58,9.1161068929,0.021713381,20.56,81.44,8.7648744489
