iter,E0.1_Steps,E0.1_Time,E0.1_Rewards,E0.1_Convergence,E0.3_Steps,E0.3_Time,E0.3_Rewards,E0.3_Convergence,E0.5_Steps,E0.5_Time,E0.5_Rewards,E0.5_Convergence
208,14,0.000677,86,1.07529828596853E-07,14,0.000691,86,8.71000054303295E-08,17,0.000821,83,7.83899594125614E-08
209,14,0.000689,86,9.67768443160821E-08,16,0.000776,84,7.83900020451256E-08,31,0.001461,-30,7.05509677345617E-08
210,16,0.000768,84,8.70991669899013E-08,14,0.000679,86,7.05509961562711E-08,16,0.00078,84,6.3495875224362E-08
211,16,0.000768,84,7.83892488698257E-08,15,0.000723,85,6.34959036460714E-08,16,0.00078,84,5.71462948073531E-08
212,14,0.000683,86,7.05503282460995E-08,30,0.001411,-29,5.71463090182078E-08,46,0.002136,-45,5.14316695898742E-08
213,14,0.000679,86,6.34952925793186E-08,14,0.000678,86,5.14316838007289E-08,18,0.000876,82,4.62885054730577E-08
214,14,0.000686,86,5.71457690057287E-08,14,0.000681,86,4.62885196839125E-08,15,0.000734,-14,4.16596606100939E-08
215,14,0.000686,86,5.14311864208139E-08,15,0.000723,85,4.16596748209486E-08,14,0.000693,86,3.74936917069135E-08
216,16,0.000765,84,4.62880649365616E-08,16,0.00078,84,3.74937059177682E-08,16,0.000782,84,3.37443282205641E-08
217,18,0.000858,-17,4.16592627061618E-08,15,0.000727,85,3.37443424314188E-08,17,0.000829,83,3.03698897141658E-08
218,174,0.007807,-173,3.74933364355456E-08,32,0.001494,-31,3.03699039250205E-08,18,0.000878,82,2.73329021638347E-08
219,50,0.002285,-49,3.37440013709056E-08,16,0.000771,84,2.73329163746894E-08,17,0.000828,-16,2.45996147896221E-08
220,16,0.000768,84,3.03696054970715E-08,16,0.000781,84,2.45996290004769E-08,14,0.000693,86,2.21396589950018E-08
221,14,0.000683,86,2.73326463684498E-08,19,0.000906,-18,2.21396732058565E-08,18,0.000871,82,1.99256930955016E-08
222,17,0.000812,83,2.45993874159467E-08,14,0.000682,86,1.99257073063563E-08,34,0.001597,-132,1.79331181016096E-08
223,14,0.000682,86,2.21394458321811E-08,36,0.001673,-35,1.79331323124643E-08,16,0.000782,84,1.61398077125341E-08
224,14,0.000683,86,1.99255083543903E-08,14,0.000681,86,1.61398219233888E-08,16,0.000785,84,1.45258240991097E-08
